Data,Estado,Nome,Codigo,Casos/Dia,Mortes
2020-02-05,BA,Salvador,120039,12,0
2020-03-19,BA,Salvador,120038,20,0
2020-03-19,SP,São Paulo,120035,13,0
2020-03-27,AM,Autazes,130030,0,0
2020-03-27,AM,Barcelos,130040,0,0
2020-03-27,AM,Barreirinha,130050,0,0
2020-03-27,AM,Benjamin Constant,130060,0,0
2020-03-27,AM,Beruri,130063,0,0
2020-03-27,AM,Boa Vista do Ramos,130068,0,0
2020-03-27,AM,Boca do Acre,130070,0,0
2020-03-27,AM,Borba,130080,0,0
2020-03-27,AM,Caapiranga,130083,0,0
2020-03-27,AM,Canutama,130090,0,0
2020-03-27,AM,Carauari,130100,0,0
2020-03-27,AM,Careiro,130110,0,0
2020-03-27,AM,Careiro da Várzea,130115,0,0
2020-03-27,AM,Coari,130120,0,0
2020-03-27,AM,Codajás,130130,0,0
2020-03-27,AM,Eirunepé,130140,0,0
2020-03-27,AM,Envira,130150,0,0
2020-03-27,AM,Fonte Boa,130160,0,0
2020-03-27,AM,Guajará,130165,0,0
2020-03-27,AM,Humaitá,130170,0,0
2020-03-27,AM,Ipixuna,130180,0,0
2020-03-27,AM,Iranduba,130185,0,0
2020-03-27,AM,Itacoatiara,130190,0,0
2020-03-27,AM,Itamarati,130195,0,0
2020-03-27,AM,Itapiranga,130200,0,0
2020-03-27,AM,Japurá,130210,0,0
2020-03-27,AM,Juruá,130220,0,0
2020-03-27,AM,Jutaí,130230,0,0
2020-03-27,AM,Lábrea,130240,0,0
2020-03-27,AM,Manacapuru,130250,0,0
2020-03-27,AM,Manaquiri,130255,0,0
2020-03-27,AM,Manaus,130260,0,0
2020-03-27,AM,Manicoré,130270,0,0
2020-03-27,AM,Maraã,130280,0,0
2020-03-27,AM,Maués,130290,0,0
2020-03-27,AM,Nhamundá,130300,0,0
2020-03-27,AM,Nova Olinda do Norte,130310,0,0
2020-03-27,AM,Novo Airão,130320,0,0
2020-03-27,AM,Novo Aripuanã,130330,0,0
2020-03-27,AM,Parintins,130340,0,0
2020-03-27,AM,Pauini,130350,0,0
2020-03-27,AM,Presidente Figueiredo,130353,0,0
2020-03-27,AM,Rio Preto da Eva,130356,0,0
2020-03-27,AM,Santa Isabel do Rio Negro,130360,0,0
2020-03-27,BA,Barro Alto,290323,0,0
2020-03-27,BA,Barro Preto,290330,0,0
2020-03-27,BA,Barrocas,290327,0,0
2020-03-27,BA,Belmonte,290340,0,0
2020-03-27,BA,Belo Campo,290350,0,0
2020-03-27,BA,Biritinga,290360,0,0
2020-03-27,BA,Boa Nova,290370,0,0
2020-03-27,BA,Boa Vista do Tupim,290380,0,0
2020-03-27,BA,Bom Jesus da Lapa,290390,0,0
2020-03-27,BA,Bom Jesus da Serra,290395,0,0
2020-03-27,BA,Boninal,290400,0,0
2020-03-27,BA,Bonito,290405,0,0
2020-03-27,BA,Boquira,290410,0,0
2020-03-27,BA,Botuporã,290420,0,0
2020-03-27,BA,Brejolândia,290440,0,0
2020-03-27,BA,Brejões,290430,0,0
2020-03-27,BA,Brotas de Macaúbas,290450,0,0
2020-03-27,BA,Brumado,290460,0,0
2020-03-27,BA,Buerarema,290470,0,0
2020-03-27,BA,Buritirama,290475,0,0
2020-03-27,BA,Caatiba,290480,0,0
2020-03-27,BA,Cabaceiras do Paraguaçu,290485,0,0
2020-03-27,BA,Cachoeira,290490,0,0
2020-03-27,BA,Caculé,290500,0,0
2020-03-27,BA,Caetanos,290515,0,0
2020-03-27,BA,Caetité,290520,0,0
2020-03-27,BA,Cafarnaum,290530,0,0
2020-03-27,BA,Cairu,290540,0,0
2020-03-27,BA,Caldeirão Grande,290550,0,0
2020-03-27,BA,Camacan,290560,0,0
2020-03-27,BA,Camamu,290580,0,0
2020-03-27,BA,Camaçari,290570,0,0
2020-03-27,BA,Campo Alegre de Lourdes,290590,0,0
2020-03-27,BA,Campo Formoso,290600,0,0
2020-03-27,BA,Canarana,290620,0,0
2020-03-27,BA,Canavieiras,290630,0,0
2020-03-27,BA,Candeal,290640,0,0
2020-03-27,BA,Candeias,290650,0,0
2020-03-27,BA,Candiba,290660,0,0
2020-03-27,BA,Canápolis,290610,0,0
2020-03-27,BA,Caém,290510,0,0
2020-03-28,RJ,Rio de Janeiro,120017,25,0
2020-04-24,SP,São Paulo,120033,10,0
2020-04-27,RJ,Rio de Janeiro,120013,35,0
2020-05-15,MG,Juiz de Fora,120025,20,0
2020-05-15,RJ,Rio de Janeiro,120020,10,0
2020-05-24,SP,São Paulo,120034,17,0
2020-08-02,AC,Acrelandia,120010,5,0
2020-08-07,MG,Juiz de Fora,120030,12,0
2020-09-07,MG,Juiz de Fora,120032,13,0
2020-09-14,AC,Acrelandia,120005,10,0
2020-09-27,AC,Acrelandia,120001,15,0
2020-10-10,BA,Salvador,120040,18,0
