2020-10-28,MG,Veríssimo,317110.0,43,1
2020-10-28,MG,Vermelho Novo,317115.0,30,1
2020-10-28,MG,Vespasiano,317120.0,1388,39
2020-10-28,MG,Viçosa,317130.0,511,4
2020-10-28,MG,Vieiras,317140.0,24,1
2020-10-28,MG,Mathias Lobato,317150.0,80,1
2020-10-28,MG,Virgem da Lapa,317160.0,46,1
2020-10-28,MG,Virgínia,317170.0,41,1
2020-10-28,MG,Virginópolis,317180.0,29,0
2020-10-28,MG,Virgolândia,317190.0,26,1
2020-10-28,MG,Visconde do Rio Branco,317200.0,870,20
2020-10-28,MG,Volta Grande,317210.0,24,1
2020-10-28,MG,Wenceslau Braz,317220.0,39,0
2020-10-28,MS,Água Clara,500020.0,268,3
2020-10-28,MS,Alcinópolis,500025.0,21,2
2020-10-28,MS,Amambai,500060.0,274,5
2020-10-28,MS,Anastácio,500070.0,750,22
2020-10-28,MS,Anaurilândia,500080.0,39,1
2020-10-28,MS,Angélica,500085.0,143,4
2020-10-28,MS,Antônio João,500090.0,66,0
2020-10-28,MS,Aparecida do Taboado,500100.0,1005,20
2020-10-28,MS,Aquidauana,500110.0,2072,64
2020-10-28,MS,Aral Moreira,500124.0,126,2
2020-10-28,MS,Bandeirantes,500150.0,78,0
2020-10-28,MS,Bataguassu,500190.0,895,7
2020-10-28,MS,Batayporã,500200.0,231,5
2020-10-28,MS,Bela Vista,500210.0,70,4
2020-10-28,MS,Bodoquena,500215.0,42,1
2020-10-28,MS,Bonito,500220.0,600,7
2020-10-28,MS,Brasilândia,500230.0,111,4
2020-10-28,MS,Caarapó,500240.0,629,4
2020-10-28,MS,Camapuã,500260.0,69,3
2020-10-28,MS,Campo Grande,500270.0,35475,670
2020-10-28,MS,Caracol,500280.0,37,0
2020-10-28,MS,Cassilândia,500290.0,933,28
2020-10-28,MS,Chapadão do Sul,500295.0,1026,15
2020-10-28,MS,Corguinho,500310.0,62,1
2020-10-28,MS,Coronel Sapucaia,500315.0,129,2
2020-10-28,MS,Corumbá,500320.0,4750,154
2020-10-28,MS,Costa Rica,500325.0,452,12
2020-10-28,MS,Coxim,500330.0,631,11
2020-10-28,MS,Deodápolis,500345.0,198,1
2020-10-28,MS,Dois Irmãos do Buriti,500348.0,522,8
2020-10-28,MS,Douradina,500350.0,147,2
2020-10-28,MS,Dourados,500370.0,8368,107
2020-10-28,MS,Eldorado,500375.0,159,0
2020-10-28,MS,Fátima do Sul,500380.0,541,13
2020-10-28,MS,Figueirão,500390.0,21,0
2020-10-28,MS,Glória de Dourados,500400.0,153,2
2020-10-28,MS,Guia Lopes da Laguna,500410.0,362,9
2020-10-28,MS,Iguatemi,500430.0,343,4
